Name,Value,Agility,Dribbling,Finishing,Shot power,Sprint speed,Interceptions,Marking
G. Xhaka,27.5,53,70,49,88,51,77,71
Jonathan Viera,23.0,89,88,78,70,76,69,29
Pizzi,23.0,87,82,77,74,76,68,62
Willian José,29.0,60,79,84,83,68,35,29
O. Baumann,18.0,45,19,11,21,51,21,10
G. Medel,17.0,78,63,31,65,74,86,78
Víctor Ruíz,20.0,56,53,37,59,61,83,83
X. Shaqiri,28.0,88,85,72,85,79,65,40
J. Cuadrado,21.5,91,90,67,84,92,62,60
C. Immobile,26.0,77,77,86,86,85,40,31
Douglas Costa,24.0,91,85,71,86,88,32,28
N. Clyne,22.0,83,76,54,74,83,79,81
Iborra,17.0,54,67,72,85,51,85,85
K. Trapp,18.5,42,10,13,22,52,22,10
V. Wanyama,23.0,71,74,63,79,68,84,79
Taison,21.5,89,87,76,83,91,49,38
Marlos,21.5,92,87,76,76,82,51,45
L. Stindl,23.0,71,78,84,84,69,70,63
M. Balotelli,24.5,70,81,84,88,82,30,16
A. Ramsey,25.5,76,81,72,81,68,69,60
W. Szczęsny,18.0,55,11,12,15,47,15,11
G. Sigurðsson,23.0,72,79,81,82,66,37,55
Y. Brahimi,23.0,93,91,74,69,75,38,24
M. Arnautović,22.5,72,84,73,78,78,53,49
J. Henderson,21.5,73,74,67,75,71,79,73
M. Kruse,22.0,75,82,86,81,69,41,32
O. Karnezis,13.5,45,15,16,22,34,23,13
L. Fejsa,18.0,56,68,49,73,54,87,79
F. Muslera,13.5,68,25,10,25,62,23,17
V. Ćorluka,15.0,57,65,47,64,65,77,83
G. Wijnaldum,27.0,82,85,74,78,82,70,60
F. Fazio,16.5,29,48,41,63,30,83,85
O. Giroud,21.5,59,72,83,85,55,41,26
B. Ivanović,9.0,57,58,57,73,61,79,0
J. Hernández,22.0,81,76,87,76,75,26,22
Beñat,20.5,71,73,69,87,52,70,59
L. Bender,20.0,65,72,59,74,69,87,76
A. Witsel,0.0,82,83,71,78,74,80,69
C. Bravo,9.0,64,22,13,22,54,23,11
A. Begović,14.0,53,16,12,28,58,21,13
Naldo,6.5,50,60,57,92,70,83,80
D. Sturridge,23.5,75,80,83,83,78,22,15
D. Rose,21.0,73,79,57,72,81,81,82
C. Vela,22.5,86,82,81,73,81,37,12
E. Viviano,13.5,35,18,17,21,33,10,19
G. Castro,20.5,83,80,69,77,69,78,72
S. Nasri,21.0,85,83,76,74,78,37,35
A. Williams,12.5,58,57,37,64,67,82,80
S. Mandanda,12.5,52,15,13,24,43,23,10
L. Baines,12.5,74,78,63,84,68,80,81
A. Consigli,14.0,57,10,10,24,34,15,12
João Moutinho,20.5,79,81,74,76,65,72,68
B. Costil,15.0,38,13,14,22,53,22,16
Raúl Albiol,15.0,53,54,27,65,57,83,85
J. Hart,14.0,50,23,14,65,60,25,14
M. Gómez,20.0,63,74,84,82,75,20,20
Raffael,17.5,84,87,81,77,68,53,29
A. Turan,20.5,82,85,71,73,68,61,54
Fernandinho,12.5,77,77,69,83,73,85,72
David Villa,10.0,75,83,86,81,67,29,22
S. Lichtsteiner,8.5,77,76,45,74,78,82,78
R. Jarstein,12.5,35,11,13,21,46,19,13
Gabriel Jesus,31.0,93,87,83,78,85,32,20
Nélson Semedo,20.5,88,80,50,74,92,80,76
Gelson Martins,25.0,94,85,66,72,94,43,43
J. Weigl,21.0,77,73,47,50,67,86,67
D. Sánchez,21.5,62,54,40,74,76,76,81
A. Kramarić,22.0,79,86,82,82,69,21,20
M. Brozović,23.0,74,81,69,78,74,72,64
Williams,24.5,78,82,78,85,94,21,28
Dani García,17.0,67,66,51,74,40,82,68
J. Kimmich,20.5,83,77,66,75,65,79,77
Bruma,24.0,93,86,70,81,92,38,21
D. Berardi,24.5,87,84,77,83,85,26,22
M. Sanson,24.0,83,81,75,79,75,80,73
A. Rabiot,23.5,75,79,66,80,68,77,66
R. Guerreiro,24.0,88,83,72,81,72,85,74
J. Vardy,17.0,78,76,83,85,91,49,48
H. Ziyech,23.0,77,79,70,80,77,66,44
M. Keane,21.0,63,66,50,58,72,81,84
Jorginho,22.0,82,77,57,71,75,78,63
Héctor Bellerín,21.0,84,76,52,52,94,78,75
J. Butland,18.0,48,21,16,29,43,27,16
S. Zaza,21.0,77,76,82,83,79,34,28
T. Meunier,18.5,63,81,72,77,80,74,80
Felipe Anderson,24.0,90,87,71,84,91,69,38
Rafinha,23.5,80,87,74,79,74,68,47
Nacho Fernández,17.5,60,55,32,54,80,81,81
J. Cillessen,15.0,48,12,10,35,50,25,18
Sergi Roberto,19.5,69,74,64,65,78,81,80
W. Ben Yedder,21.0,91,85,84,78,83,44,28
Lucas Pérez,18.5,74,81,83,83,81,38,24
R. Barkley,24.0,70,85,69,80,77,45,56
C. Bakambu,22.5,80,80,81,84,88,39,30
W. Zaha,22.5,89,88,74,75,90,23,36
Bartra,18.0,73,70,43,64,77,86,82
S. Aurier,19.0,76,76,65,78,84,76,77
S. Coates,18.0,33,65,32,62,64,80,76
G. Krychowiak,17.5,59,63,42,81,68,81,75
K. Kampl,21.0,91,84,65,70,75,74,45
D. Lovren,17.5,53,63,33,63,55,82,78
A. Yarmolenko,18.5,76,86,78,77,81,54,36
Y. Belhanda,18.5,87,86,75,78,73,66,49
Mário Fernandes,17.0,79,77,58,72,88,77,82
R. Rodríguez,18.5,73,76,59,78,74,81,76
J. Corona,23.0,90,91,76,66,79,45,29
Mario Gaspar,18.0,69,73,68,81,83,80,83
Marcos Alonso,17.5,68,78,64,79,79,74,77
M. Götze,22.5,86,88,74,68,66,66,16
L. Hrádecký,14.5,43,10,11,14,44,18,11
Illarramendi,18.0,70,79,64,69,55,82,76
De Marcos,14.0,77,76,59,73,89,79,66
C. Smalling,17.0,60,59,50,42,75,79,80
Iturraspe,17.5,53,69,60,67,60,84,72
J. Wilshere,22.0,80,82,64,75,69,61,61
S. Rudy,20.0,79,78,63,71,68,84,72
M. Lanzini,24.5,88,87,70,75,80,23,20
R. Boudebouz,20.5,79,83,78,79,76,32,27
Camacho,18.0,71,64,58,76,59,85,75
Paulinho,17.5,70,77,72,79,76,78,77
N. Kalinić,18.0,69,74,85,78,77,42,22
Giuliano,20.5,85,82,76,79,79,42,47
C. Benteke,22.0,69,73,79,85,76,29,25
D. Perotti,18.0,80,86,66,73,78,36,24
M. Parolo,13.5,67,75,70,87,74,80,71
K. Mitroglou,18.0,50,75,82,85,62,10,10
M. Sakho,17.0,61,50,23,51,67,81,78
A. Rami,12.0,57,53,45,83,57,83,80
S. Jovetić,21.0,80,85,80,82,78,30,26
S. Coleman,14.0,76,78,62,75,72,76,82
S. Kjær,16.0,48,42,55,78,68,81,80
Adán,11.5,55,12,11,25,55,20,11
M. Valbuena,14.0,87,83,74,74,79,34,21
S. Mignolet,12.0,34,14,11,45,56,21,13
D. Astori,13.0,57,56,25,65,69,86,85
K. Mirallas,17.5,82,84,77,77,84,35,40
Raúl García,17.0,65,74,73,84,60,65,54
M. Škrtel,10.0,52,46,35,46,67,81,80
T. Heaton,11.0,54,17,12,14,53,24,15
H. Ben Arfa,17.0,85,89,75,80,73,36,31
Dante,7.0,53,58,47,66,45,80,80
A. Gignac,16.0,66,75,86,84,71,51,22
Gabi,10.5,74,74,67,81,65,82,76
G. Rodríguez,7.0,64,62,44,68,70,83,82
D. Srna,3.8,71,72,69,83,76,85,78
B. Schweinsteiger,13.5,66,71,69,82,39,80,68
C. Carrasso,4.2,39,14,13,24,42,23,13
Moyá,9.0,54,13,11,21,34,11,13
W. Rooney,15.5,71,73,80,86,68,54,48
P. Mertesacker,10.0,27,39,36,71,28,86,85
T. Motta,5.5,42,65,54,80,32,78,68
Fernando Torres,11.0,74,82,77,83,77,20,17
S. Eto'o,6.5,78,80,85,85,75,39,20
M. Rashford,22.0,90,83,79,82,92,42,22
S. Milinković-Savić,20.0,66,81,69,83,73,78,67
Y. Tielemans,23.5,67,76,73,88,53,72,64
Jemerson,17.5,63,54,28,45,63,82,79
N. Bentaleb,19.5,76,84,62,84,68,78,70
Alisson,14.0,30,16,13,21,35,11,20
J. Brandt,22.0,81,87,74,77,83,29,25
K. Demirbay,19.5,78,82,72,75,68,57,46
D. Rugani,19.0,59,64,33,58,66,84,84
Samu Castillejo,20.0,84,83,69,69,86,52,22
P. Zieliński,20.5,77,84,64,76,83,70,48
Ricardo Pereira,17.0,84,83,60,67,88,79,78
Grimaldo,17.5,82,82,50,73,86,78,74
Fred,19.5,84,79,71,69,84,69,75
J. Hector,14.0,67,74,55,69,77,81,77
E. Can,19.5,73,76,60,79,73,79,78
S. Kolašinac,15.5,52,63,42,82,82,71,78
Arrizabalaga,15.5,41,10,11,25,33,21,19
T. Stepanenko,14.0,60,64,53,75,64,82,80
O. Shatov,16.0,83,82,73,75,90,63,38
Leo Baptistao,19.0,78,80,79,77,80,28,17
M. Nastasić,16.5,64,35,27,44,74,78,81
Denis Suárez,20.5,83,84,75,76,79,62,40
M. Batshuayi,20.0,78,76,83,83,80,23,16
J. Brooks,17.0,60,65,39,50,78,80,79
Eric Botteghin,11.5,35,41,25,59,34,83,83
L. Karius,14.0,51,16,18,20,50,13,13
T. Hazard,19.5,91,86,79,78,77,39,28
V. Germain,16.0,91,76,82,79,78,44,22
L. Kurzawa,16.5,77,77,71,69,74,76,76
J. Iličić,15.0,70,83,78,87,72,46,26
K. Volland,19.0,73,79,80,85,77,44,17
Allan,17.5,79,77,62,70,76,86,76
P. Hernández,13.5,72,81,69,75,70,74,56
D. Tadić,15.0,81,83,65,69,70,31,40
L. Muriel,18.5,86,86,80,82,90,16,18
Pablo Sarabia,18.5,81,86,73,77,77,25,26
A. Oxlade-Chamberlain,20.0,84,85,68,75,88,51,52
J. Guilavogui,15.0,54,67,49,78,73,83,76
O. Özyakup,19.5,88,79,68,80,75,66,54
Y. Rakitskyi,14.5,72,69,57,87,74,82,82
Sergi Enrich,17.5,68,74,83,74,68,42,29
Neto,10.0,59,19,15,28,49,15,19
Hugo Mallo,15.0,78,69,28,74,75,80,75
D. Didavi,17.0,74,81,79,87,78,51,45
R. Soriano,17.5,83,81,76,82,77,69,48
A. Schürrle,17.5,77,81,80,86,83,44,23
M. Gonalons,12.0,63,67,55,77,66,83,78
R. Pereyra,18.0,79,82,61,66,78,72,64
K. Vogt,15.0,59,67,50,78,85,82,76
F. Orellana,13.0,85,85,75,64,78,31,18
Maicon,12.0,34,55,40,85,67,79,81
E. Salvio,16.0,86,78,76,74,86,52,40
D. Blind,13.5,72,73,46,68,58,82,80
S. El Shaarawy,19.0,85,84,75,74,87,36,25
M. Antonio,17.5,86,83,74,76,87,40,44
Iago Falqué,15.5,85,84,75,62,79,26,35
S. Rondón,16.0,69,75,77,85,76,33,25
Daniel Carriço,13.5,59,58,48,66,59,82,76
M. Schmelzer,11.0,66,63,37,74,84,78,79
J. McCarthy,15.5,66,76,55,67,68,78,79
A. Dzagoev,16.5,71,78,73,79,73,71,69
Ganso,17.0,71,84,72,77,34,47,30
F. Smolov,17.5,75,77,82,80,85,32,26
D. Welbeck,17.5,82,80,75,77,84,32,28
Luiz Gustavo,11.5,65,68,46,80,64,83,74
Mikel San José,14.5,47,70,69,71,47,83,72
M. Darmian,13.5,80,74,55,69,77,79,81
R. Thomas,11.5,54,28,22,65,54,82,79
I. Traoré,14.5,94,86,66,80,85,41,32
Sidnei,14.5,51,69,46,61,58,80,80
J. Lens,14.5,75,83,75,80,90,23,22
Eder,14.5,81,83,81,80,84,24,18
Kiko Casilla,9.5,43,12,14,24,49,20,12
Nacho Monreal,9.5,73,73,39,71,72,83,80
S. Bender,13.5,63,58,39,73,72,80,80
M. Díaz,13.5,79,72,52,84,57,80,75
A. Fernández,12.5,75,78,69,74,71,77,57
M. Berg,0.0,71,72,82,79,75,28,12
I. Piatti,11.5,87,85,81,81,76,55,55
V. Birsa,14.0,68,84,62,84,78,49,44
Pedro León,14.0,68,84,74,82,69,43,34
K. Boateng,14.5,77,79,75,84,73,67,59
Marcano,11.0,58,54,41,65,69,82,80
H. Moreno,11.5,66,56,43,64,66,76,83
S. Romero,9.5,52,12,14,14,44,21,14
A. Candreva,14.0,74,82,74,87,78,59,54
D. Criscito,10.5,68,72,56,68,77,77,78
D. Wass,14.5,78,80,69,86,76,74,59
Coke,10.5,68,72,62,70,75,77,76
A. Guardado,13.5,82,80,58,74,76,72,60
J. dos Santos,16.5,74,80,62,72,65,65,52
E. Lamela,18.5,77,85,73,80,74,43,37
R. Bertrand,12.0,76,77,50,59,79,77,79
Renato Augusto,0.0,66,85,65,81,67,70,67
Jardel,10.0,34,52,38,58,64,77,81
V. Denisov,10.5,69,73,40,75,80,87,76
D. Basta,8.0,70,76,58,80,76,82,78
G. Cabral,10.0,59,49,22,50,42,80,82
G. Paletta,10.0,46,55,16,60,53,84,84
T. Walcott,15.0,83,81,77,76,91,35,33
L. Fabiański,8.5,52,14,13,14,47,16,11
B. Foster,6.0,45,14,18,27,48,23,15
V. Ibišević,12.0,65,72,85,81,53,30,20
K. El Ahmadi,11.0,74,73,54,74,65,76,66
S. Kalou,13.0,77,87,83,76,67,32,22
Manuel Fernandes,13.0,82,84,71,83,76,68,62
A. Granqvist,8.5,55,49,51,74,49,82,83
L. Podolski,12.0,69,78,82,92,77,36,33
Javi Fuego,6.0,64,62,54,72,52,83,75
F. Belluschi,9.0,78,79,69,83,70,69,45
A. Mirante,7.5,50,15,17,23,43,17,18
V. Enyeama,6.0,0,11,19,35,0,21,12
F. Marchetti,6.0,60,11,17,20,50,22,19
Kaká,6.5,68,79,74,76,61,42,14
J. Milner,9.5,72,77,66,85,66,76,76
A. Hutchinson,4.5,67,74,63,73,69,80,75
M. Topal,10.0,66,72,58,84,68,86,78
J. Mathieu,6.0,55,59,51,79,76,82,79
C. Kameni,7.5,65,15,11,22,45,24,13
P. Jagielka,4.5,51,49,30,69,52,81,81
P. Evra,1.7,78,74,33,72,70,85,78
J. Defoe,8.0,83,78,87,88,72,19,24
Júlio César,1.0,69,27,12,14,43,25,19
M. Carrick,3.5,58,71,59,78,44,81,73
Oyarzabal,18.0,72,81,75,73,75,29,35
Soares,15.5,74,74,80,77,87,40,33
M. Campaña,11.0,40,18,16,24,48,31,12
F. Andone,17.0,78,73,79,79,78,51,27
M. Acuña,16.0,84,79,67,78,84,63,53
V. Lindelöf,15.0,64,59,36,68,72,81,79
Y. Cardinale,12.5,43,25,14,25,40,15,18
C. Lenglet,14.5,50,60,23,58,73,78,78
M. Dahoud,18.5,87,81,60,72,69,67,63
D. Zappacosta,13.5,75,76,60,74,85,75,75
N. Maksimović,13.5,51,49,22,39,68,80,81
E. Rigoni,17.5,78,82,75,71,82,33,46
I. Marcone,12.5,58,66,48,73,42,79,73
L. López,12.0,64,61,48,67,68,80,77
A. Correa,19.0,87,87,82,78,79,45,46
K. Coman,18.0,87,84,75,76,92,23,11
S. Kritsyuk,11.0,36,13,19,22,47,16,18
W. Cyprien,18.5,81,80,74,82,79,79,69
Diego Llorente,16.0,59,51,39,45,62,82,79
Anderson Talisca,17.0,73,77,79,84,76,63,50
L. Dendoncker,15.0,59,68,66,86,70,78,71
M. Meyer,18.0,91,84,68,45,67,41,32
Gayà,14.0,80,77,56,58,89,76,77
S. Boufal,17.0,90,87,72,71,81,19,44
M. Benassi,17.5,75,78,63,82,68,75,64
N. Tagliafico,14.0,83,74,57,66,85,77,79
E. Hysaj,13.5,76,72,47,68,84,78,77
João Cancelo,15.0,78,82,59,80,91,69,74
A. Romagnoli,16.0,58,63,20,60,68,82,82
Óliver Torres,17.0,85,85,70,65,67,67,43
H. Çalhanoğlu,16.5,76,78,74,87,67,44,32
L. Vietto,18.0,78,86,82,70,75,35,23
M. Arnold,16.5,73,78,77,87,67,75,60
S. Gnabry,18.5,85,86,74,82,88,38,41
L. Shaw,14.0,78,77,44,62,84,78,74
E. Višća,13.0,92,81,80,79,89,49,28
Bernard,17.0,92,81,71,73,84,42,39
