Name,Age,Preferred Positions,CB,LCB,RCB,LB,RB,LWB,RWB,CDM,LDM,RDM,CM,LCM,RCM,LM,RM,CAM,LAM,RAM,LW,RW,LF,RF,LS,RS,CF,ST,Rango edad,Score_prom
S. Kagawa,28,CF CAM ,43.0,43.0,43.0,56.0,56.0,61.0,61.0,59.0,59.0,59.0,76.0,76.0,76.0,79.0,79.0,81.0,81.0,81.0,78.0,78.0,78.0,78.0,71.0,71.0,78.0,71.0,Máximo potencial,75.38
G. Bonaventura,27,LW CM ,70.0,70.0,70.0,75.0,75.0,78.0,78.0,76.0,76.0,76.0,82.0,82.0,82.0,81.0,81.0,82.0,82.0,82.0,81.0,81.0,80.0,80.0,77.0,77.0,80.0,77.0,Máximo potencial,79.12
B. Dost,28,ST ,57.0,57.0,57.0,54.0,54.0,55.0,55.0,57.0,57.0,57.0,67.0,67.0,67.0,68.0,68.0,71.0,71.0,71.0,69.0,69.0,76.0,76.0,81.0,81.0,76.0,81.0,Máximo potencial,76.12
K. Walker,27,RWB RB ,79.0,79.0,79.0,82.0,82.0,81.0,81.0,78.0,78.0,78.0,74.0,74.0,74.0,76.0,76.0,73.0,73.0,73.0,74.0,74.0,73.0,73.0,72.0,72.0,73.0,72.0,Máximo potencial,72.88
José Callejón,30,RW ,48.0,48.0,48.0,60.0,60.0,64.0,64.0,56.0,56.0,56.0,73.0,73.0,73.0,81.0,81.0,80.0,80.0,80.0,82.0,82.0,81.0,81.0,79.0,79.0,81.0,79.0,Máximo potencial,80.5
S. Giovinco,30,ST CF ,41.0,41.0,41.0,54.0,54.0,60.0,60.0,57.0,57.0,57.0,76.0,76.0,76.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,76.0,76.0,83.0,76.0,Máximo potencial,80.38
M. Mandžukić,31,LM ST ,73.0,73.0,73.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,75.0,75.0,75.0,77.0,77.0,76.0,76.0,76.0,76.0,76.0,78.0,78.0,81.0,81.0,78.0,81.0,Cercano al retiro,78.62
Jonas,33,CF ST ,50.0,50.0,50.0,55.0,55.0,58.0,58.0,58.0,58.0,58.0,75.0,75.0,75.0,79.0,79.0,81.0,81.0,81.0,80.0,80.0,82.0,82.0,81.0,81.0,82.0,81.0,Cercano al retiro,81.12
K. Gameiro,30,ST ,51.0,51.0,51.0,59.0,59.0,62.0,62.0,59.0,59.0,59.0,74.0,74.0,74.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,81.0,81.0,81.0,81.0,Máximo potencial,80.75
Borja Valero,32,CF CM CAM ,66.0,66.0,66.0,72.0,72.0,74.0,74.0,75.0,75.0,75.0,82.0,82.0,82.0,81.0,81.0,82.0,82.0,82.0,80.0,80.0,80.0,80.0,74.0,74.0,80.0,74.0,Cercano al retiro,77.75
Nani,30,LM CAM RW LW ,41.0,41.0,41.0,53.0,53.0,59.0,59.0,56.0,56.0,56.0,76.0,76.0,76.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,81.0,81.0,76.0,76.0,81.0,76.0,Máximo potencial,79.38
L. Sané,21,LM RW LW ,50.0,50.0,50.0,59.0,59.0,63.0,63.0,57.0,57.0,57.0,72.0,72.0,72.0,81.0,81.0,80.0,80.0,80.0,82.0,82.0,81.0,81.0,80.0,80.0,81.0,80.0,Joven promesa,80.88
I. Slimani,29,ST ,61.0,61.0,61.0,59.0,59.0,61.0,61.0,63.0,63.0,63.0,72.0,72.0,72.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,77.0,77.0,80.0,80.0,77.0,80.0,Máximo potencial,77.38
N. Fekir,23,ST CAM ,48.0,48.0,48.0,54.0,54.0,59.0,59.0,58.0,58.0,58.0,74.0,74.0,74.0,79.0,79.0,81.0,81.0,81.0,81.0,81.0,80.0,80.0,77.0,77.0,80.0,77.0,Máximo potencial,79.12
K. Baldé Diao,22,ST LW ,46.0,46.0,46.0,56.0,56.0,60.0,60.0,55.0,55.0,55.0,72.0,72.0,72.0,81.0,81.0,80.0,80.0,80.0,82.0,82.0,81.0,81.0,79.0,79.0,81.0,79.0,Máximo potencial,80.5
F. Bernardeschi,23,LM CF RM ,47.0,47.0,47.0,58.0,58.0,63.0,63.0,59.0,59.0,59.0,75.0,75.0,75.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,81.0,81.0,76.0,76.0,81.0,76.0,Máximo potencial,79.38
T. Werner,21,ST ,46.0,46.0,46.0,55.0,55.0,59.0,59.0,53.0,53.0,53.0,68.0,68.0,68.0,78.0,78.0,77.0,77.0,77.0,80.0,80.0,80.0,80.0,81.0,81.0,80.0,81.0,Joven promesa,80.38
André Gomes,23,CAM LW CM ,74.0,74.0,74.0,72.0,72.0,73.0,73.0,78.0,78.0,78.0,80.0,80.0,80.0,76.0,76.0,79.0,79.0,79.0,75.0,75.0,77.0,77.0,75.0,75.0,77.0,75.0,Máximo potencial,75.75
A. Martial,21,ST LM ,55.0,55.0,55.0,62.0,62.0,65.0,65.0,60.0,60.0,60.0,72.0,72.0,72.0,80.0,80.0,79.0,79.0,79.0,82.0,82.0,81.0,81.0,81.0,81.0,81.0,81.0,Joven promesa,81.25
Q. Promes,25,LM ST RM ,46.0,46.0,46.0,56.0,56.0,60.0,60.0,55.0,55.0,55.0,73.0,73.0,73.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,81.0,81.0,78.0,78.0,81.0,78.0,Máximo potencial,80.12
Lucas Vázquez,26,RM RW ,51.0,51.0,51.0,62.0,62.0,67.0,67.0,63.0,63.0,63.0,78.0,78.0,78.0,82.0,82.0,81.0,81.0,81.0,82.0,82.0,81.0,81.0,76.0,76.0,81.0,76.0,Máximo potencial,79.38
C. Bacca,30,ST ,44.0,44.0,44.0,49.0,49.0,53.0,53.0,50.0,50.0,50.0,66.0,66.0,66.0,75.0,75.0,75.0,75.0,75.0,77.0,77.0,78.0,78.0,80.0,80.0,78.0,80.0,Máximo potencial,78.5
F. Vázquez,28,CF CM CAM ,57.0,57.0,57.0,60.0,60.0,64.0,64.0,66.0,66.0,66.0,78.0,78.0,78.0,79.0,79.0,81.0,81.0,81.0,79.0,79.0,80.0,80.0,77.0,77.0,80.0,77.0,Máximo potencial,78.62
F. Thauvin,24,RM RW ,50.0,50.0,50.0,59.0,59.0,63.0,63.0,59.0,59.0,59.0,75.0,75.0,75.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,81.0,81.0,78.0,78.0,81.0,78.0,Máximo potencial,80.12
A. Florenzi,26,CM RW RB ,76.0,76.0,76.0,80.0,80.0,80.0,80.0,79.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,80.0,80.0,80.0,81.0,81.0,80.0,80.0,79.0,79.0,80.0,79.0,Máximo potencial,79.88
R. Sterling,22,LM RM RW ,53.0,53.0,53.0,64.0,64.0,67.0,67.0,61.0,61.0,61.0,74.0,74.0,74.0,81.0,81.0,80.0,80.0,80.0,81.0,81.0,80.0,80.0,74.0,74.0,80.0,74.0,Máximo potencial,78.0
Suso,23,RW ,37.0,37.0,37.0,53.0,53.0,58.0,58.0,53.0,53.0,53.0,75.0,75.0,75.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,81.0,81.0,74.0,74.0,81.0,74.0,Máximo potencial,78.62
Deulofeu,23,RW LW ,41.0,41.0,41.0,55.0,55.0,60.0,60.0,53.0,53.0,53.0,72.0,72.0,72.0,81.0,81.0,80.0,80.0,80.0,82.0,82.0,80.0,80.0,74.0,74.0,80.0,74.0,Máximo potencial,78.25
Lucas,24,LW RW ,55.0,55.0,55.0,64.0,64.0,67.0,67.0,62.0,62.0,62.0,74.0,74.0,74.0,80.0,80.0,79.0,79.0,79.0,81.0,81.0,79.0,79.0,75.0,75.0,79.0,75.0,Máximo potencial,78.0
H. Son,24,ST RM LM ,43.0,43.0,43.0,54.0,54.0,59.0,59.0,54.0,54.0,54.0,73.0,73.0,73.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,80.0,80.0,82.0,80.0,Máximo potencial,81.25
Willian José,25,ST ,53.0,53.0,53.0,53.0,53.0,56.0,56.0,56.0,56.0,56.0,68.0,68.0,68.0,73.0,73.0,75.0,75.0,75.0,75.0,75.0,78.0,78.0,81.0,81.0,78.0,81.0,Máximo potencial,78.38
X. Shaqiri,25,RW RM ,55.0,55.0,55.0,64.0,64.0,68.0,68.0,66.0,66.0,66.0,77.0,77.0,77.0,80.0,80.0,81.0,81.0,81.0,80.0,80.0,80.0,80.0,74.0,74.0,80.0,74.0,Máximo potencial,77.75
C. Immobile,27,ST ,54.0,54.0,54.0,56.0,56.0,58.0,58.0,56.0,56.0,56.0,67.0,67.0,67.0,74.0,74.0,75.0,75.0,75.0,76.0,76.0,79.0,79.0,81.0,81.0,79.0,81.0,Máximo potencial,79.0
L. Stindl,28,CAM CF ,68.0,68.0,68.0,71.0,71.0,73.0,73.0,74.0,74.0,74.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,81.0,80.0,80.0,82.0,82.0,80.0,80.0,82.0,80.0,Máximo potencial,80.75
M. Balotelli,26,ST ,46.0,46.0,46.0,50.0,50.0,54.0,54.0,52.0,52.0,52.0,68.0,68.0,68.0,75.0,75.0,76.0,76.0,76.0,77.0,77.0,78.0,78.0,79.0,79.0,78.0,79.0,Máximo potencial,78.12
M. Arnautović,28,LW RM LM ,63.0,63.0,63.0,64.0,64.0,68.0,68.0,68.0,68.0,68.0,77.0,77.0,77.0,80.0,80.0,79.0,79.0,79.0,80.0,80.0,79.0,79.0,78.0,78.0,79.0,78.0,Máximo potencial,78.88
M. Kruse,29,CAM ST CF ,52.0,52.0,52.0,59.0,59.0,64.0,64.0,63.0,63.0,63.0,79.0,79.0,79.0,82.0,82.0,83.0,83.0,83.0,82.0,82.0,82.0,82.0,80.0,80.0,82.0,80.0,Máximo potencial,81.25
O. Giroud,30,ST ,55.0,55.0,55.0,53.0,53.0,56.0,56.0,59.0,59.0,59.0,71.0,71.0,71.0,72.0,72.0,75.0,75.0,75.0,73.0,73.0,77.0,77.0,80.0,80.0,77.0,80.0,Máximo potencial,77.12
J. Hernández,29,ST ,46.0,46.0,46.0,52.0,52.0,55.0,55.0,51.0,51.0,51.0,68.0,68.0,68.0,75.0,75.0,76.0,76.0,76.0,77.0,77.0,79.0,79.0,80.0,80.0,79.0,80.0,Máximo potencial,78.88
D. Sturridge,27,ST ,44.0,44.0,44.0,49.0,49.0,52.0,52.0,51.0,51.0,51.0,70.0,70.0,70.0,76.0,76.0,78.0,78.0,78.0,78.0,78.0,80.0,80.0,80.0,80.0,80.0,80.0,Máximo potencial,79.5
D. Rose,26,LWB LB ,79.0,79.0,79.0,81.0,81.0,81.0,81.0,79.0,79.0,79.0,75.0,75.0,75.0,76.0,76.0,74.0,74.0,74.0,75.0,75.0,73.0,73.0,70.0,70.0,73.0,70.0,Máximo potencial,72.38
C. Vela,28,ST RW ,44.0,44.0,44.0,53.0,53.0,57.0,57.0,54.0,54.0,54.0,72.0,72.0,72.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,80.0,80.0,78.0,78.0,80.0,78.0,Máximo potencial,79.5
M. Gómez,31,ST ,48.0,48.0,48.0,49.0,49.0,52.0,52.0,50.0,50.0,50.0,65.0,65.0,65.0,72.0,72.0,72.0,72.0,72.0,74.0,74.0,76.0,76.0,80.0,80.0,76.0,80.0,Cercano al retiro,77.0
Raffael,32,ST CF ,54.0,54.0,54.0,60.0,60.0,64.0,64.0,64.0,64.0,64.0,79.0,79.0,79.0,81.0,81.0,83.0,83.0,83.0,82.0,82.0,82.0,82.0,78.0,78.0,82.0,78.0,Cercano al retiro,80.5
A. Turan,30,LW RW CM ,68.0,68.0,68.0,70.0,70.0,72.0,72.0,72.0,72.0,72.0,79.0,79.0,79.0,80.0,80.0,81.0,81.0,81.0,80.0,80.0,80.0,80.0,76.0,76.0,80.0,76.0,Máximo potencial,78.5
David Villa,35,ST ,48.0,48.0,48.0,55.0,55.0,59.0,59.0,57.0,57.0,57.0,73.0,73.0,73.0,78.0,78.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,80.0,80.0,81.0,80.0,Cercano al retiro,80.38
Gabriel Jesus,20,ST ,44.0,44.0,44.0,53.0,53.0,58.0,58.0,54.0,54.0,54.0,73.0,73.0,73.0,80.0,80.0,81.0,81.0,81.0,82.0,82.0,82.0,82.0,80.0,80.0,82.0,80.0,Joven promesa,81.25
Malcom,20,RM RW ,42.0,42.0,42.0,53.0,53.0,58.0,58.0,54.0,54.0,54.0,73.0,73.0,73.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,79.0,79.0,76.0,76.0,79.0,76.0,Joven promesa,78.38
A. Kramarić,26,LW ST ,45.0,45.0,45.0,52.0,52.0,56.0,56.0,52.0,52.0,52.0,70.0,70.0,70.0,77.0,77.0,78.0,78.0,78.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,80.0,Máximo potencial,79.75
Williams,23,LW ST RW ,51.0,51.0,51.0,58.0,58.0,61.0,61.0,57.0,57.0,57.0,72.0,72.0,72.0,80.0,80.0,79.0,79.0,79.0,81.0,81.0,80.0,80.0,79.0,79.0,80.0,79.0,Máximo potencial,79.88
D. Berardi,22,RW ,47.0,47.0,47.0,56.0,56.0,60.0,60.0,57.0,57.0,57.0,74.0,74.0,74.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,81.0,81.0,78.0,78.0,81.0,78.0,Máximo potencial,79.88
R. Guerreiro,23,CM LB LWB LM ,72.0,72.0,72.0,78.0,78.0,80.0,80.0,77.0,77.0,77.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,79.0,79.0,75.0,75.0,79.0,75.0,Máximo potencial,78.0
J. Vardy,30,ST ,61.0,61.0,61.0,66.0,66.0,67.0,67.0,63.0,63.0,63.0,69.0,69.0,69.0,76.0,76.0,75.0,75.0,75.0,77.0,77.0,79.0,79.0,79.0,79.0,79.0,79.0,Máximo potencial,78.5
S. Zaza,26,ST ,56.0,56.0,56.0,56.0,56.0,57.0,57.0,55.0,55.0,55.0,66.0,66.0,66.0,72.0,72.0,73.0,73.0,73.0,74.0,74.0,77.0,77.0,80.0,80.0,77.0,80.0,Máximo potencial,77.38
Felipe Anderson,24,RM LW RW ,59.0,59.0,59.0,70.0,70.0,73.0,73.0,69.0,69.0,69.0,77.0,77.0,77.0,81.0,81.0,80.0,80.0,80.0,81.0,81.0,80.0,80.0,74.0,74.0,80.0,74.0,Máximo potencial,78.0
