Name,Age,Preferred Positions,CB,LCB,RCB,LB,RB,LWB,RWB,CDM,LDM,RDM,CM,LCM,RCM,LM,RM,CAM,LAM,RAM,LW,RW,LF,RF,LS,RS,CF,ST,Rango edad,Score_prom
Sergio Busquets,28,CM CDM ,80.0,80.0,80.0,76.0,76.0,77.0,77.0,83.0,83.0,83.0,81.0,81.0,81.0,73.0,73.0,75.0,75.0,75.0,70.0,70.0,72.0,72.0,68.0,68.0,72.0,68.0,Máximo potencial,78.45
Coutinho,25,CAM LW ,49.0,49.0,49.0,60.0,60.0,64.0,64.0,61.0,61.0,61.0,79.0,79.0,79.0,83.0,83.0,85.0,85.0,85.0,84.0,84.0,83.0,83.0,77.0,77.0,83.0,77.0,Máximo potencial,76.45
M. Reus,28,LW ST LM ,52.0,52.0,52.0,63.0,63.0,67.0,67.0,64.0,64.0,64.0,80.0,80.0,80.0,84.0,84.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,82.0,82.0,86.0,82.0,Máximo potencial,78.0
R. Nainggolan,29,CAM CM ,81.0,81.0,81.0,83.0,83.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,82.0,82.0,82.0,82.0,82.0,81.0,81.0,82.0,82.0,80.0,80.0,82.0,80.0,Máximo potencial,83.09
Javi Martínez,28,CDM CB ,84.0,84.0,84.0,76.0,76.0,74.0,74.0,80.0,80.0,80.0,72.0,72.0,72.0,65.0,65.0,67.0,67.0,67.0,63.0,63.0,66.0,66.0,67.0,67.0,66.0,67.0,Máximo potencial,71.55
Cesc Fàbregas,30,CAM CDM CM ,64.0,64.0,64.0,70.0,70.0,72.0,72.0,72.0,72.0,72.0,83.0,83.0,83.0,81.0,81.0,82.0,82.0,82.0,80.0,80.0,80.0,80.0,77.0,77.0,80.0,77.0,Máximo potencial,79.36
F. Ribéry,34,LW LM ,42.0,42.0,42.0,55.0,55.0,61.0,61.0,57.0,57.0,57.0,78.0,78.0,78.0,83.0,83.0,85.0,85.0,85.0,84.0,84.0,83.0,83.0,77.0,77.0,83.0,77.0,Cercano al retiro,75.09
Y. Carrasco,23,RM LM ,45.0,45.0,45.0,56.0,56.0,60.0,60.0,56.0,56.0,56.0,74.0,74.0,74.0,83.0,83.0,82.0,82.0,82.0,84.0,84.0,83.0,83.0,79.0,79.0,83.0,79.0,Máximo potencial,72.91
Casemiro,25,CDM ,83.0,83.0,83.0,78.0,78.0,77.0,77.0,84.0,84.0,84.0,79.0,79.0,79.0,71.0,71.0,74.0,74.0,74.0,69.0,69.0,72.0,72.0,72.0,72.0,72.0,72.0,Máximo potencial,77.55
H. Mkhitaryan,28,LM RW RM ,62.0,62.0,62.0,70.0,70.0,73.0,73.0,70.0,70.0,70.0,80.0,80.0,80.0,83.0,83.0,84.0,84.0,84.0,84.0,84.0,83.0,83.0,79.0,79.0,83.0,79.0,Máximo potencial,78.91
I. Gündoğan,26,CDM CM ,69.0,69.0,69.0,73.0,73.0,75.0,75.0,77.0,77.0,77.0,83.0,83.0,83.0,81.0,81.0,84.0,84.0,84.0,81.0,81.0,81.0,81.0,76.0,76.0,81.0,76.0,Máximo potencial,81.27
M. Pjanić,27,CDM CM ,70.0,70.0,70.0,75.0,75.0,77.0,77.0,78.0,78.0,78.0,83.0,83.0,83.0,81.0,81.0,83.0,83.0,83.0,80.0,80.0,80.0,80.0,74.0,74.0,80.0,74.0,Máximo potencial,81.27
C. Marchisio,31,CDM CM ,77.0,77.0,77.0,79.0,79.0,80.0,80.0,81.0,81.0,81.0,83.0,83.0,83.0,81.0,81.0,82.0,82.0,82.0,80.0,80.0,80.0,80.0,76.0,76.0,80.0,76.0,Cercano al retiro,81.82
B. Matuidi,30,CM CDM ,82.0,82.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,83.0,79.0,79.0,79.0,77.0,77.0,76.0,76.0,76.0,75.0,75.0,75.0,75.0,73.0,73.0,75.0,73.0,Máximo potencial,78.91
Marco Asensio,21,LW LM RM CAM ,50.0,50.0,50.0,60.0,60.0,65.0,65.0,62.0,62.0,62.0,78.0,78.0,78.0,81.0,81.0,82.0,82.0,82.0,81.0,81.0,81.0,81.0,77.0,77.0,81.0,77.0,Joven promesa,75.27
Bernardo Silva,22,RM ,53.0,53.0,53.0,63.0,63.0,68.0,68.0,66.0,66.0,66.0,79.0,79.0,79.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,82.0,82.0,75.0,75.0,82.0,75.0,Máximo potencial,77.27
D. Alli,21,LM CF CAM ,69.0,69.0,69.0,72.0,72.0,73.0,73.0,75.0,75.0,75.0,81.0,81.0,81.0,81.0,81.0,83.0,83.0,83.0,81.0,81.0,83.0,83.0,81.0,81.0,83.0,81.0,Joven promesa,79.91
J. Draxler,23,LM CAM LW ,49.0,49.0,49.0,57.0,57.0,62.0,62.0,59.0,59.0,59.0,77.0,77.0,77.0,82.0,82.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,80.0,80.0,83.0,80.0,Máximo potencial,74.64
Koke,25,LM RM CM ,67.0,67.0,67.0,71.0,71.0,74.0,74.0,75.0,75.0,75.0,82.0,82.0,82.0,81.0,81.0,82.0,82.0,82.0,80.0,80.0,80.0,80.0,77.0,77.0,80.0,77.0,Máximo potencial,79.91
Ander Herrera,27,CDM CM ,78.0,78.0,78.0,80.0,80.0,81.0,81.0,83.0,83.0,83.0,83.0,83.0,83.0,80.0,80.0,81.0,81.0,81.0,79.0,79.0,79.0,79.0,75.0,75.0,79.0,75.0,Máximo potencial,81.91
K. Strootman,27,CDM CM ,79.0,79.0,79.0,78.0,78.0,79.0,79.0,83.0,83.0,83.0,83.0,83.0,83.0,78.0,78.0,80.0,80.0,80.0,77.0,77.0,78.0,78.0,76.0,76.0,78.0,76.0,Máximo potencial,81.27
Bruno,33,CDM CM ,78.0,78.0,78.0,74.0,74.0,75.0,75.0,82.0,82.0,82.0,82.0,82.0,82.0,72.0,72.0,76.0,76.0,76.0,71.0,71.0,74.0,74.0,71.0,71.0,74.0,71.0,Cercano al retiro,78.55
I. Perišić,28,CAM LM ,56.0,56.0,56.0,64.0,64.0,67.0,67.0,62.0,62.0,62.0,76.0,76.0,76.0,82.0,82.0,80.0,80.0,80.0,82.0,82.0,81.0,81.0,81.0,81.0,81.0,81.0,Máximo potencial,74.36
Willian,28,CAM RM RW ,55.0,55.0,55.0,68.0,68.0,72.0,72.0,68.0,68.0,68.0,80.0,80.0,80.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,82.0,82.0,74.0,74.0,82.0,74.0,Máximo potencial,78.09
S. Khedira,30,CDM CM ,81.0,81.0,81.0,78.0,78.0,79.0,79.0,82.0,82.0,82.0,82.0,82.0,82.0,77.0,77.0,79.0,79.0,79.0,76.0,76.0,78.0,78.0,77.0,77.0,78.0,77.0,Máximo potencial,80.27
Juan Mata,29,RM CAM ,45.0,45.0,45.0,55.0,55.0,61.0,61.0,59.0,59.0,59.0,78.0,78.0,78.0,81.0,81.0,82.0,82.0,82.0,81.0,81.0,81.0,81.0,76.0,76.0,81.0,76.0,Máximo potencial,74.45
D. Payet,30,CAM LW ,51.0,51.0,51.0,60.0,60.0,64.0,64.0,63.0,63.0,63.0,79.0,79.0,79.0,83.0,83.0,84.0,84.0,84.0,83.0,83.0,82.0,82.0,78.0,78.0,82.0,78.0,Máximo potencial,76.73
O. Dembélé,20,CAM LW RW ,45.0,45.0,45.0,58.0,58.0,63.0,63.0,57.0,57.0,57.0,74.0,74.0,74.0,82.0,82.0,82.0,82.0,82.0,83.0,83.0,82.0,82.0,76.0,76.0,82.0,76.0,Joven promesa,73.0
N. Keïta,22,CAM CDM CM ,65.0,65.0,65.0,71.0,71.0,75.0,75.0,76.0,76.0,76.0,82.0,82.0,82.0,81.0,81.0,82.0,82.0,82.0,80.0,80.0,80.0,80.0,74.0,74.0,80.0,74.0,Máximo potencial,80.18
T. Lemar,21,LM ,66.0,66.0,66.0,72.0,72.0,75.0,75.0,72.0,72.0,72.0,78.0,78.0,78.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,81.0,81.0,77.0,77.0,81.0,77.0,Joven promesa,78.18
João Mário,24,CAM CM ,70.0,70.0,70.0,74.0,74.0,77.0,77.0,77.0,77.0,77.0,81.0,81.0,81.0,80.0,80.0,80.0,80.0,80.0,79.0,79.0,79.0,79.0,74.0,74.0,79.0,74.0,Máximo potencial,79.45
Fabinho,23,CDM ,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,77.0,77.0,77.0,76.0,76.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,72.0,72.0,74.0,72.0,Máximo potencial,77.36
E. Forsberg,25,LM CAM ,45.0,45.0,45.0,55.0,55.0,61.0,61.0,59.0,59.0,59.0,76.0,76.0,76.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,79.0,79.0,74.0,74.0,79.0,74.0,Máximo potencial,73.64
William Carvalho,25,CM CDM ,79.0,79.0,79.0,75.0,75.0,75.0,75.0,81.0,81.0,81.0,79.0,79.0,79.0,72.0,72.0,72.0,72.0,72.0,69.0,69.0,69.0,69.0,67.0,67.0,69.0,67.0,Máximo potencial,76.36
R. Mahrez,26,RM ,41.0,41.0,41.0,54.0,54.0,60.0,60.0,55.0,55.0,55.0,74.0,74.0,74.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,80.0,80.0,74.0,74.0,80.0,74.0,Máximo potencial,72.0
Roberto Firmino,25,CAM CF ST ,58.0,58.0,58.0,63.0,63.0,66.0,66.0,65.0,65.0,65.0,79.0,79.0,79.0,82.0,82.0,83.0,83.0,83.0,82.0,82.0,83.0,83.0,81.0,81.0,83.0,81.0,Máximo potencial,76.82
Danilo Pereira,25,CM CB CDM ,82.0,82.0,82.0,77.0,77.0,76.0,76.0,82.0,82.0,82.0,77.0,77.0,77.0,72.0,72.0,72.0,72.0,72.0,69.0,69.0,72.0,72.0,71.0,71.0,72.0,71.0,Máximo potencial,76.09
Vitolo,27,RM LM ,47.0,47.0,47.0,54.0,54.0,59.0,59.0,57.0,57.0,57.0,75.0,75.0,75.0,82.0,82.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,79.0,79.0,81.0,79.0,Máximo potencial,73.0
I. Gueye,27,CM CDM ,81.0,81.0,81.0,80.0,80.0,80.0,80.0,82.0,82.0,82.0,77.0,77.0,77.0,74.0,74.0,74.0,74.0,74.0,72.0,72.0,73.0,73.0,70.0,70.0,73.0,70.0,Máximo potencial,77.0
N. Matić,28,CM CDM ,80.0,80.0,80.0,78.0,78.0,78.0,78.0,81.0,81.0,81.0,79.0,79.0,79.0,74.0,74.0,74.0,74.0,74.0,72.0,72.0,73.0,73.0,73.0,73.0,73.0,73.0,Máximo potencial,77.27
J. Pastore,28,RW LW CM ,63.0,63.0,63.0,68.0,68.0,71.0,71.0,72.0,72.0,72.0,81.0,81.0,81.0,81.0,81.0,83.0,83.0,83.0,81.0,81.0,81.0,81.0,77.0,77.0,81.0,77.0,Máximo potencial,79.09
Parejo,28,CDM CAM CM ,65.0,65.0,65.0,68.0,68.0,71.0,71.0,74.0,74.0,74.0,82.0,82.0,82.0,78.0,78.0,80.0,80.0,80.0,77.0,77.0,78.0,78.0,75.0,75.0,78.0,75.0,Máximo potencial,78.55
S. Kagawa,28,CF CAM ,43.0,43.0,43.0,56.0,56.0,61.0,61.0,59.0,59.0,59.0,76.0,76.0,76.0,79.0,79.0,81.0,81.0,81.0,78.0,78.0,78.0,78.0,71.0,71.0,78.0,71.0,Máximo potencial,73.27
G. Bonaventura,27,LW CM ,70.0,70.0,70.0,75.0,75.0,78.0,78.0,76.0,76.0,76.0,82.0,82.0,82.0,81.0,81.0,82.0,82.0,82.0,81.0,81.0,80.0,80.0,77.0,77.0,80.0,77.0,Máximo potencial,80.18
Oscar,25,CAM ,49.0,49.0,49.0,61.0,61.0,64.0,64.0,61.0,61.0,61.0,77.0,77.0,77.0,79.0,79.0,81.0,81.0,81.0,79.0,79.0,80.0,80.0,74.0,74.0,80.0,74.0,Máximo potencial,74.09
S. N'Zonzi,28,CM CDM ,82.0,82.0,82.0,77.0,77.0,76.0,76.0,82.0,82.0,82.0,79.0,79.0,79.0,72.0,72.0,74.0,74.0,74.0,70.0,70.0,73.0,73.0,73.0,73.0,73.0,73.0,Máximo potencial,77.18
Adrien Silva,28,CDM CM ,75.0,75.0,75.0,78.0,78.0,79.0,79.0,81.0,81.0,81.0,82.0,82.0,82.0,79.0,79.0,80.0,80.0,80.0,78.0,78.0,78.0,78.0,74.0,74.0,78.0,74.0,Máximo potencial,80.64
N. Gaitán,29,LM ,50.0,50.0,50.0,61.0,61.0,65.0,65.0,61.0,61.0,61.0,76.0,76.0,76.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,80.0,80.0,75.0,75.0,80.0,75.0,Máximo potencial,74.18
M. Mandžukić,31,LM ST ,73.0,73.0,73.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,75.0,75.0,75.0,77.0,77.0,76.0,76.0,76.0,76.0,76.0,78.0,78.0,81.0,81.0,78.0,81.0,Cercano al retiro,74.82
A. Lallana,29,CM ,69.0,69.0,69.0,73.0,73.0,75.0,75.0,75.0,75.0,75.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,80.0,80.0,80.0,80.0,77.0,77.0,80.0,77.0,Máximo potencial,79.64
E. Banega,29,CM CAM ,66.0,66.0,66.0,70.0,70.0,73.0,73.0,75.0,75.0,75.0,81.0,81.0,81.0,79.0,79.0,81.0,81.0,81.0,79.0,79.0,78.0,78.0,71.0,71.0,78.0,71.0,Máximo potencial,79.0
M. Schneiderlin,27,CM CDM ,79.0,79.0,79.0,79.0,79.0,79.0,79.0,82.0,82.0,82.0,79.0,79.0,79.0,75.0,75.0,75.0,75.0,75.0,72.0,72.0,73.0,73.0,71.0,71.0,73.0,71.0,Máximo potencial,78.0
M. Dembélé,29,CDM CM ,78.0,78.0,78.0,76.0,76.0,77.0,77.0,80.0,80.0,80.0,81.0,81.0,81.0,79.0,79.0,80.0,80.0,80.0,78.0,78.0,79.0,79.0,77.0,77.0,79.0,77.0,Máximo potencial,80.09
Borja Valero,32,CF CM CAM ,66.0,66.0,66.0,72.0,72.0,74.0,74.0,75.0,75.0,75.0,82.0,82.0,82.0,81.0,81.0,82.0,82.0,82.0,80.0,80.0,80.0,80.0,74.0,74.0,80.0,74.0,Cercano al retiro,79.91
L. Biglia,31,CM CDM ,75.0,75.0,75.0,78.0,78.0,79.0,79.0,81.0,81.0,81.0,80.0,80.0,80.0,75.0,75.0,76.0,76.0,76.0,73.0,73.0,73.0,73.0,68.0,68.0,73.0,68.0,Cercano al retiro,78.27
Santi Cazorla,32,CDM CM ,64.0,64.0,64.0,69.0,69.0,72.0,72.0,72.0,72.0,72.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,82.0,81.0,81.0,80.0,80.0,75.0,75.0,80.0,75.0,Cercano al retiro,78.82
J. Mascherano,33,CDM CB ,80.0,80.0,80.0,78.0,78.0,77.0,77.0,81.0,81.0,81.0,73.0,73.0,73.0,67.0,67.0,68.0,68.0,68.0,65.0,65.0,65.0,65.0,63.0,63.0,65.0,63.0,Cercano al retiro,72.73
W. Sneijder,33,CAM ,47.0,47.0,47.0,58.0,58.0,63.0,63.0,62.0,62.0,62.0,78.0,78.0,78.0,79.0,79.0,81.0,81.0,81.0,80.0,80.0,79.0,79.0,72.0,72.0,79.0,72.0,Cercano al retiro,74.64
Nani,30,LM CAM RW LW ,41.0,41.0,41.0,53.0,53.0,59.0,59.0,56.0,56.0,56.0,76.0,76.0,76.0,81.0,81.0,82.0,82.0,82.0,82.0,82.0,81.0,81.0,76.0,76.0,81.0,76.0,Máximo potencial,73.09
D. De Rossi,33,CDM ,81.0,81.0,81.0,78.0,78.0,76.0,76.0,81.0,81.0,81.0,76.0,76.0,76.0,69.0,69.0,71.0,71.0,71.0,67.0,67.0,69.0,69.0,69.0,69.0,69.0,69.0,Cercano al retiro,74.73
Quaresma,33,LM RM ,37.0,37.0,37.0,50.0,50.0,57.0,57.0,52.0,52.0,52.0,74.0,74.0,74.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,80.0,80.0,74.0,74.0,80.0,74.0,Cercano al retiro,71.18
Y. Touré,34,CDM CM ,74.0,74.0,74.0,72.0,72.0,73.0,73.0,77.0,77.0,77.0,80.0,80.0,80.0,77.0,77.0,80.0,80.0,80.0,77.0,77.0,80.0,80.0,79.0,79.0,80.0,79.0,Cercano al retiro,78.64
L. Sané,21,LM RW LW ,50.0,50.0,50.0,59.0,59.0,63.0,63.0,57.0,57.0,57.0,72.0,72.0,72.0,81.0,81.0,80.0,80.0,80.0,82.0,82.0,81.0,81.0,80.0,80.0,81.0,80.0,Joven promesa,71.73
T. Bakayoko,22,CM CDM ,80.0,80.0,80.0,78.0,78.0,77.0,77.0,81.0,81.0,81.0,76.0,76.0,76.0,71.0,71.0,71.0,71.0,71.0,68.0,68.0,69.0,69.0,65.0,65.0,69.0,65.0,Máximo potencial,75.09
C. Tolisso,22,CDM CM ,78.0,78.0,78.0,76.0,76.0,77.0,77.0,79.0,79.0,79.0,81.0,81.0,81.0,78.0,78.0,79.0,79.0,79.0,77.0,77.0,79.0,79.0,79.0,79.0,79.0,79.0,Máximo potencial,79.36
N. Fekir,23,ST CAM ,48.0,48.0,48.0,54.0,54.0,59.0,59.0,58.0,58.0,58.0,74.0,74.0,74.0,79.0,79.0,81.0,81.0,81.0,81.0,81.0,80.0,80.0,77.0,77.0,80.0,77.0,Máximo potencial,72.45
J. Seri,25,CDM CM ,73.0,73.0,73.0,76.0,76.0,77.0,77.0,78.0,78.0,78.0,81.0,81.0,81.0,80.0,80.0,81.0,81.0,81.0,79.0,79.0,79.0,79.0,75.0,75.0,79.0,75.0,Máximo potencial,80.0
F. Bernardeschi,23,LM CF RM ,47.0,47.0,47.0,58.0,58.0,63.0,63.0,59.0,59.0,59.0,75.0,75.0,75.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,81.0,81.0,76.0,76.0,81.0,76.0,Máximo potencial,73.36
André Gomes,23,CAM LW CM ,74.0,74.0,74.0,72.0,72.0,73.0,73.0,78.0,78.0,78.0,80.0,80.0,80.0,76.0,76.0,79.0,79.0,79.0,75.0,75.0,77.0,77.0,75.0,75.0,77.0,75.0,Máximo potencial,78.45
A. Martial,21,ST LM ,55.0,55.0,55.0,62.0,62.0,65.0,65.0,60.0,60.0,60.0,72.0,72.0,72.0,80.0,80.0,79.0,79.0,79.0,82.0,82.0,81.0,81.0,81.0,81.0,81.0,81.0,Joven promesa,72.09
L. Goretzka,22,CDM CAM CM ,77.0,77.0,77.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,81.0,80.0,80.0,80.0,80.0,80.0,79.0,79.0,79.0,79.0,77.0,77.0,79.0,77.0,Máximo potencial,80.27
Q. Promes,25,LM ST RM ,46.0,46.0,46.0,56.0,56.0,60.0,60.0,55.0,55.0,55.0,73.0,73.0,73.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,81.0,81.0,78.0,78.0,81.0,78.0,Máximo potencial,71.73
Lucas Vázquez,26,RM RW ,51.0,51.0,51.0,62.0,62.0,67.0,67.0,63.0,63.0,63.0,78.0,78.0,78.0,82.0,82.0,81.0,81.0,81.0,82.0,82.0,81.0,81.0,76.0,76.0,81.0,76.0,Máximo potencial,75.45
Saúl,22,RM CM ,78.0,78.0,78.0,78.0,78.0,78.0,78.0,79.0,79.0,79.0,81.0,81.0,81.0,79.0,79.0,80.0,80.0,80.0,78.0,78.0,79.0,79.0,77.0,77.0,79.0,77.0,Máximo potencial,79.82
F. Vázquez,28,CF CM CAM ,57.0,57.0,57.0,60.0,60.0,64.0,64.0,66.0,66.0,66.0,78.0,78.0,78.0,79.0,79.0,81.0,81.0,81.0,79.0,79.0,80.0,80.0,77.0,77.0,80.0,77.0,Máximo potencial,75.73
M. Kovačić,23,CDM CM ,65.0,65.0,65.0,71.0,71.0,74.0,74.0,74.0,74.0,74.0,81.0,81.0,81.0,80.0,80.0,81.0,81.0,81.0,79.0,79.0,78.0,78.0,71.0,71.0,78.0,71.0,Máximo potencial,78.91
Manu Trigueros,25,CAM CDM CM ,69.0,69.0,69.0,71.0,71.0,73.0,73.0,74.0,74.0,74.0,81.0,81.0,81.0,79.0,79.0,81.0,81.0,81.0,78.0,78.0,80.0,80.0,77.0,77.0,80.0,77.0,Máximo potencial,78.73
F. Thauvin,24,RM RW ,50.0,50.0,50.0,59.0,59.0,63.0,63.0,59.0,59.0,59.0,75.0,75.0,75.0,81.0,81.0,81.0,81.0,81.0,82.0,82.0,81.0,81.0,78.0,78.0,81.0,78.0,Máximo potencial,73.36
Roque Mesa,28,CM CDM ,74.0,74.0,74.0,78.0,78.0,80.0,80.0,81.0,81.0,81.0,79.0,79.0,79.0,77.0,77.0,76.0,76.0,76.0,74.0,74.0,73.0,73.0,67.0,67.0,73.0,67.0,Máximo potencial,78.36
A. Florenzi,26,CM RW RB ,76.0,76.0,76.0,80.0,80.0,80.0,80.0,79.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,80.0,80.0,80.0,81.0,81.0,80.0,80.0,79.0,79.0,80.0,79.0,Máximo potencial,79.91
D. Klaassen,24,CAM CM ,71.0,71.0,71.0,73.0,73.0,73.0,73.0,75.0,75.0,75.0,80.0,80.0,80.0,78.0,78.0,79.0,79.0,79.0,77.0,77.0,79.0,79.0,79.0,79.0,79.0,79.0,Máximo potencial,78.0
