Name,Age,Preferred Positions,CB,LCB,RCB,LB,RB,LWB,RWB,CDM,LDM,RDM,CM,LCM,RCM,LM,RM,CAM,LAM,RAM,LW,RW,LF,RF,LS,RS,CF,ST,Rango edad,Score_prom
T. Alderweireld,28,CB ,84.0,84.0,84.0,79.0,79.0,77.0,77.0,81.0,81.0,81.0,74.0,74.0,74.0,67.0,67.0,67.0,67.0,67.0,65.0,65.0,67.0,67.0,67.0,67.0,67.0,67.0,Máximo potencial,80.57
David Luiz,30,CB ,83.0,83.0,83.0,79.0,79.0,78.0,78.0,81.0,81.0,81.0,75.0,75.0,75.0,70.0,70.0,71.0,71.0,71.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,Máximo potencial,80.43
Javi Martínez,28,CDM CB ,84.0,84.0,84.0,76.0,76.0,74.0,74.0,80.0,80.0,80.0,72.0,72.0,72.0,65.0,65.0,67.0,67.0,67.0,63.0,63.0,66.0,66.0,67.0,67.0,66.0,67.0,Máximo potencial,78.86
Sokratis,29,CB ,84.0,84.0,84.0,77.0,77.0,73.0,73.0,76.0,76.0,76.0,63.0,63.0,63.0,61.0,61.0,59.0,59.0,59.0,59.0,59.0,61.0,61.0,64.0,64.0,61.0,64.0,Máximo potencial,78.86
Miranda,32,CB ,84.0,84.0,84.0,77.0,77.0,75.0,75.0,79.0,79.0,79.0,67.0,67.0,67.0,63.0,63.0,63.0,63.0,63.0,61.0,61.0,62.0,62.0,63.0,63.0,62.0,63.0,Cercano al retiro,79.43
Pepe,34,CB ,83.0,83.0,83.0,75.0,75.0,72.0,72.0,76.0,76.0,76.0,63.0,63.0,63.0,59.0,59.0,59.0,59.0,59.0,58.0,58.0,59.0,59.0,61.0,61.0,59.0,61.0,Cercano al retiro,77.57
R. Varane,24,CB ,83.0,83.0,83.0,77.0,77.0,73.0,73.0,79.0,79.0,79.0,69.0,69.0,69.0,63.0,63.0,64.0,64.0,64.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,Máximo potencial,78.43
K. Glik,29,CB ,83.0,83.0,83.0,72.0,72.0,68.0,68.0,74.0,74.0,74.0,55.0,55.0,55.0,50.0,50.0,47.0,47.0,47.0,45.0,45.0,48.0,48.0,52.0,52.0,48.0,52.0,Máximo potencial,75.57
Jordi Alba,28,LB ,78.0,78.0,78.0,83.0,83.0,84.0,84.0,80.0,80.0,80.0,78.0,78.0,78.0,81.0,81.0,78.0,78.0,78.0,80.0,80.0,78.0,78.0,75.0,75.0,78.0,75.0,Máximo potencial,81.14
Azpilicueta,27,LB RB CB ,83.0,83.0,83.0,84.0,84.0,83.0,83.0,82.0,82.0,82.0,76.0,76.0,76.0,74.0,74.0,72.0,72.0,72.0,71.0,71.0,70.0,70.0,68.0,68.0,70.0,68.0,Máximo potencial,83.29
J. Vertonghen,30,CB ,83.0,83.0,83.0,80.0,80.0,78.0,78.0,81.0,81.0,81.0,74.0,74.0,74.0,70.0,70.0,70.0,70.0,70.0,69.0,69.0,70.0,70.0,70.0,70.0,70.0,70.0,Máximo potencial,80.71
Filipe Luís,31,LB ,80.0,80.0,80.0,83.0,83.0,83.0,83.0,81.0,81.0,81.0,77.0,77.0,77.0,78.0,78.0,75.0,75.0,75.0,75.0,75.0,74.0,74.0,72.0,72.0,74.0,72.0,Cercano al retiro,81.71
V. Kompany,31,CB ,82.0,82.0,82.0,76.0,76.0,74.0,74.0,77.0,77.0,77.0,67.0,67.0,67.0,63.0,63.0,62.0,62.0,62.0,61.0,61.0,62.0,62.0,63.0,63.0,62.0,63.0,Cercano al retiro,78.0
A. Barzagli,36,CB ,83.0,83.0,83.0,75.0,75.0,71.0,71.0,76.0,76.0,76.0,63.0,63.0,63.0,57.0,57.0,58.0,58.0,58.0,55.0,55.0,55.0,55.0,53.0,53.0,55.0,53.0,Cercano al retiro,77.29
E. Bailly,23,CB ,83.0,83.0,83.0,77.0,77.0,75.0,75.0,76.0,76.0,76.0,65.0,65.0,65.0,63.0,63.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,60.0,60.0,61.0,60.0,Máximo potencial,79.0
A. Laporte,23,CB ,83.0,83.0,83.0,78.0,78.0,75.0,75.0,79.0,79.0,79.0,69.0,69.0,69.0,64.0,64.0,62.0,62.0,62.0,61.0,61.0,62.0,62.0,64.0,64.0,62.0,64.0,Máximo potencial,79.29
Carvajal,25,RB ,81.0,81.0,81.0,83.0,83.0,83.0,83.0,80.0,80.0,80.0,73.0,73.0,73.0,75.0,75.0,70.0,70.0,70.0,72.0,72.0,69.0,69.0,65.0,65.0,69.0,65.0,Máximo potencial,82.14
K. Koulibaly,26,CB ,83.0,83.0,83.0,74.0,74.0,70.0,70.0,73.0,73.0,73.0,55.0,55.0,55.0,52.0,52.0,48.0,48.0,48.0,48.0,48.0,49.0,49.0,51.0,51.0,49.0,51.0,Máximo potencial,76.71
K. Manolas,26,CB ,83.0,83.0,83.0,76.0,76.0,72.0,72.0,74.0,74.0,74.0,56.0,56.0,56.0,53.0,53.0,49.0,49.0,49.0,49.0,49.0,48.0,48.0,49.0,49.0,48.0,49.0,Máximo potencial,77.86
S. Mustafi,25,CB ,82.0,82.0,82.0,76.0,76.0,74.0,74.0,78.0,78.0,78.0,68.0,68.0,68.0,63.0,63.0,64.0,64.0,64.0,62.0,62.0,63.0,63.0,65.0,65.0,63.0,65.0,Máximo potencial,78.0
M. Benatia,30,CB ,82.0,82.0,82.0,75.0,75.0,72.0,72.0,75.0,75.0,75.0,62.0,62.0,62.0,60.0,60.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,60.0,60.0,58.0,60.0,Máximo potencial,77.14
L. Koscielny,31,CB ,82.0,82.0,82.0,78.0,78.0,76.0,76.0,78.0,78.0,78.0,67.0,67.0,67.0,63.0,63.0,62.0,62.0,62.0,60.0,60.0,60.0,60.0,58.0,58.0,60.0,58.0,Cercano al retiro,79.14
G. Cahill,31,CB ,82.0,82.0,82.0,73.0,73.0,69.0,69.0,75.0,75.0,75.0,65.0,65.0,65.0,58.0,58.0,61.0,61.0,61.0,58.0,58.0,61.0,61.0,64.0,64.0,61.0,64.0,Cercano al retiro,75.71
Dani Alves,34,RB ,76.0,76.0,76.0,81.0,81.0,81.0,81.0,79.0,79.0,79.0,80.0,80.0,80.0,80.0,80.0,79.0,79.0,79.0,79.0,79.0,78.0,78.0,74.0,74.0,78.0,74.0,Cercano al retiro,78.86
J. Giménez,22,CB ,82.0,82.0,82.0,75.0,75.0,71.0,71.0,73.0,73.0,73.0,57.0,57.0,57.0,53.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,56.0,56.0,51.0,56.0,Máximo potencial,76.86
N. Süle,21,CB ,81.0,81.0,81.0,73.0,73.0,69.0,69.0,75.0,75.0,75.0,60.0,60.0,60.0,51.0,51.0,51.0,51.0,51.0,48.0,48.0,52.0,52.0,56.0,56.0,52.0,56.0,Joven promesa,75.29
Marquinhos,23,CB ,82.0,82.0,82.0,80.0,80.0,79.0,79.0,80.0,80.0,80.0,70.0,70.0,70.0,67.0,67.0,64.0,64.0,64.0,63.0,63.0,61.0,61.0,60.0,60.0,61.0,60.0,Máximo potencial,80.57
S. Umtiti,23,CB ,81.0,81.0,81.0,79.0,79.0,78.0,78.0,79.0,79.0,79.0,73.0,73.0,73.0,70.0,70.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,Máximo potencial,79.57
V. van Dijk,25,CB ,82.0,82.0,82.0,77.0,77.0,76.0,76.0,79.0,79.0,79.0,71.0,71.0,71.0,67.0,67.0,66.0,66.0,66.0,65.0,65.0,66.0,66.0,67.0,67.0,66.0,67.0,Máximo potencial,78.86
Danilo Pereira,25,CM CB CDM ,82.0,82.0,82.0,77.0,77.0,76.0,76.0,82.0,82.0,82.0,77.0,77.0,77.0,72.0,72.0,72.0,72.0,72.0,69.0,69.0,72.0,72.0,71.0,71.0,72.0,71.0,Máximo potencial,78.86
S. de Vrij,25,CB ,81.0,81.0,81.0,75.0,75.0,73.0,73.0,77.0,77.0,77.0,66.0,66.0,66.0,60.0,60.0,59.0,59.0,59.0,57.0,57.0,58.0,58.0,57.0,57.0,58.0,57.0,Máximo potencial,77.0
J. Matip,25,CB ,82.0,82.0,82.0,76.0,76.0,75.0,75.0,79.0,79.0,79.0,72.0,72.0,72.0,66.0,66.0,66.0,66.0,66.0,63.0,63.0,64.0,64.0,63.0,63.0,64.0,63.0,Máximo potencial,78.29
N. Otamendi,29,CB ,81.0,81.0,81.0,75.0,75.0,72.0,72.0,76.0,76.0,76.0,64.0,64.0,64.0,58.0,58.0,58.0,58.0,58.0,57.0,57.0,58.0,58.0,63.0,63.0,58.0,63.0,Máximo potencial,76.71
K. Walker,27,RWB RB ,79.0,79.0,79.0,82.0,82.0,81.0,81.0,78.0,78.0,78.0,74.0,74.0,74.0,76.0,76.0,73.0,73.0,73.0,74.0,74.0,73.0,73.0,72.0,72.0,73.0,72.0,Máximo potencial,80.43
M. Musacchio,26,CB ,82.0,82.0,82.0,78.0,78.0,75.0,75.0,79.0,79.0,79.0,69.0,69.0,69.0,63.0,63.0,64.0,64.0,64.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,Máximo potencial,78.86
O. Toprak,27,CB ,81.0,81.0,81.0,77.0,77.0,74.0,74.0,77.0,77.0,77.0,67.0,67.0,67.0,63.0,63.0,62.0,62.0,62.0,60.0,60.0,60.0,60.0,59.0,59.0,60.0,59.0,Máximo potencial,77.86
B. Höwedes,29,CB ,81.0,81.0,81.0,76.0,76.0,73.0,73.0,76.0,76.0,76.0,66.0,66.0,66.0,63.0,63.0,62.0,62.0,62.0,61.0,61.0,61.0,61.0,63.0,63.0,61.0,63.0,Máximo potencial,77.29
L. Piszczek,32,CB RB ,80.0,80.0,80.0,81.0,81.0,81.0,81.0,79.0,79.0,79.0,75.0,75.0,75.0,76.0,76.0,74.0,74.0,74.0,75.0,75.0,74.0,74.0,74.0,74.0,74.0,74.0,Cercano al retiro,80.57
E. Garay,30,CB ,81.0,81.0,81.0,74.0,74.0,72.0,72.0,77.0,77.0,77.0,70.0,70.0,70.0,63.0,63.0,64.0,64.0,64.0,61.0,61.0,63.0,63.0,66.0,66.0,63.0,66.0,Máximo potencial,76.43
A. Valencia,31,RB ,79.0,79.0,79.0,82.0,82.0,82.0,82.0,80.0,80.0,80.0,77.0,77.0,77.0,80.0,80.0,76.0,76.0,76.0,78.0,78.0,77.0,77.0,75.0,75.0,77.0,75.0,Cercano al retiro,80.71
L. Perrin,31,CB ,82.0,82.0,82.0,79.0,79.0,77.0,77.0,79.0,79.0,79.0,72.0,72.0,72.0,69.0,69.0,68.0,68.0,68.0,67.0,67.0,68.0,68.0,69.0,69.0,68.0,69.0,Cercano al retiro,79.71
Juanfran,32,RB ,78.0,78.0,78.0,81.0,81.0,81.0,81.0,78.0,78.0,78.0,75.0,75.0,75.0,76.0,76.0,73.0,73.0,73.0,74.0,74.0,72.0,72.0,69.0,69.0,72.0,69.0,Cercano al retiro,79.71
J. Mascherano,33,CDM CB ,80.0,80.0,80.0,78.0,78.0,77.0,77.0,81.0,81.0,81.0,73.0,73.0,73.0,67.0,67.0,68.0,68.0,68.0,65.0,65.0,65.0,65.0,63.0,63.0,65.0,63.0,Cercano al retiro,78.57
J. Tah,21,CB ,81.0,81.0,81.0,73.0,73.0,70.0,70.0,75.0,75.0,75.0,64.0,64.0,64.0,57.0,57.0,57.0,57.0,57.0,53.0,53.0,54.0,54.0,52.0,52.0,54.0,52.0,Joven promesa,75.57
Felipe,28,CB ,81.0,81.0,81.0,75.0,75.0,73.0,73.0,77.0,77.0,77.0,65.0,65.0,65.0,60.0,60.0,59.0,59.0,59.0,57.0,57.0,56.0,56.0,57.0,57.0,56.0,57.0,Máximo potencial,77.0
A. Rüdiger,24,RB CB ,81.0,81.0,81.0,76.0,76.0,74.0,74.0,75.0,75.0,75.0,64.0,64.0,64.0,62.0,62.0,59.0,59.0,59.0,59.0,59.0,58.0,58.0,58.0,58.0,58.0,58.0,Máximo potencial,77.57
S. Savić,26,CB ,81.0,81.0,81.0,72.0,72.0,68.0,68.0,74.0,74.0,74.0,60.0,60.0,60.0,54.0,54.0,53.0,53.0,53.0,51.0,51.0,52.0,52.0,53.0,53.0,52.0,53.0,Máximo potencial,74.71
Iñigo Martínez,26,CB ,81.0,81.0,81.0,75.0,75.0,73.0,73.0,77.0,77.0,77.0,67.0,67.0,67.0,62.0,62.0,62.0,62.0,62.0,60.0,60.0,62.0,62.0,63.0,63.0,62.0,63.0,Máximo potencial,77.0
A. Florenzi,26,CM RW RB ,76.0,76.0,76.0,80.0,80.0,80.0,80.0,79.0,79.0,79.0,80.0,80.0,80.0,81.0,81.0,80.0,80.0,80.0,81.0,81.0,80.0,80.0,79.0,79.0,80.0,79.0,Máximo potencial,78.29
E. Dier,23,CM CDM CB ,81.0,81.0,81.0,77.0,77.0,76.0,76.0,78.0,78.0,78.0,72.0,72.0,72.0,69.0,69.0,68.0,68.0,68.0,66.0,66.0,67.0,67.0,68.0,68.0,67.0,68.0,Máximo potencial,78.43
M. Rojo,27,LB CB ,80.0,80.0,80.0,77.0,77.0,76.0,76.0,77.0,77.0,77.0,69.0,69.0,69.0,68.0,68.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,67.0,67.0,66.0,67.0,Máximo potencial,78.0
F. Acerbi,29,CB ,81.0,81.0,81.0,73.0,73.0,70.0,70.0,77.0,77.0,77.0,66.0,66.0,66.0,57.0,57.0,59.0,59.0,59.0,53.0,53.0,57.0,57.0,58.0,58.0,57.0,58.0,Máximo potencial,75.57
G. Medel,29,CB CDM ,80.0,80.0,80.0,78.0,78.0,77.0,77.0,80.0,80.0,80.0,74.0,74.0,74.0,68.0,68.0,68.0,68.0,68.0,65.0,65.0,65.0,65.0,62.0,62.0,65.0,62.0,Máximo potencial,78.57
Víctor Ruíz,28,CB ,81.0,81.0,81.0,75.0,75.0,73.0,73.0,78.0,78.0,78.0,66.0,66.0,66.0,60.0,60.0,59.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,Máximo potencial,77.0
N. Clyne,26,RB ,78.0,78.0,78.0,81.0,81.0,81.0,81.0,77.0,77.0,77.0,74.0,74.0,74.0,75.0,75.0,73.0,73.0,73.0,74.0,74.0,72.0,72.0,70.0,70.0,72.0,70.0,Máximo potencial,79.71
V. Ćorluka,31,CB ,80.0,80.0,80.0,76.0,76.0,74.0,74.0,77.0,77.0,77.0,69.0,69.0,69.0,65.0,65.0,63.0,63.0,63.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,Cercano al retiro,77.14
F. Fazio,30,CB ,81.0,81.0,81.0,70.0,70.0,67.0,67.0,75.0,75.0,75.0,61.0,61.0,61.0,53.0,53.0,52.0,52.0,52.0,49.0,49.0,52.0,52.0,56.0,56.0,52.0,56.0,Máximo potencial,73.86
B. Ivanović,33,RB CB ,81.0,81.0,81.0,76.0,76.0,74.0,74.0,76.0,76.0,76.0,68.0,68.0,68.0,66.0,66.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,67.0,67.0,64.0,67.0,Cercano al retiro,77.57
Naldo,34,CB ,80.0,80.0,80.0,75.0,75.0,72.0,72.0,76.0,76.0,76.0,69.0,69.0,69.0,63.0,63.0,65.0,65.0,65.0,63.0,63.0,67.0,67.0,71.0,71.0,67.0,71.0,Cercano al retiro,76.29
D. Rose,26,LWB LB ,79.0,79.0,79.0,81.0,81.0,81.0,81.0,79.0,79.0,79.0,75.0,75.0,75.0,76.0,76.0,74.0,74.0,74.0,75.0,75.0,73.0,73.0,70.0,70.0,73.0,70.0,Máximo potencial,80.14
A. Williams,32,CB ,80.0,80.0,80.0,72.0,72.0,69.0,69.0,76.0,76.0,76.0,65.0,65.0,65.0,57.0,57.0,58.0,58.0,58.0,54.0,54.0,56.0,56.0,57.0,57.0,56.0,57.0,Cercano al retiro,74.57
L. Baines,32,LB ,77.0,77.0,77.0,80.0,80.0,80.0,80.0,79.0,79.0,79.0,78.0,78.0,78.0,77.0,77.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,74.0,74.0,76.0,74.0,Cercano al retiro,78.71
Raúl Albiol,31,CB ,81.0,81.0,81.0,72.0,72.0,69.0,69.0,75.0,75.0,75.0,63.0,63.0,63.0,55.0,55.0,56.0,56.0,56.0,53.0,53.0,55.0,55.0,55.0,55.0,55.0,55.0,Cercano al retiro,75.0
Fernandinho,32,RB CM CDM ,77.0,77.0,77.0,77.0,77.0,78.0,78.0,80.0,80.0,80.0,79.0,79.0,79.0,76.0,76.0,77.0,77.0,77.0,75.0,75.0,75.0,75.0,73.0,73.0,75.0,73.0,Cercano al retiro,77.29
S. Lichtsteiner,33,RM RB ,79.0,79.0,79.0,80.0,80.0,80.0,80.0,78.0,78.0,78.0,74.0,74.0,74.0,74.0,74.0,71.0,71.0,71.0,72.0,72.0,70.0,70.0,68.0,68.0,70.0,68.0,Cercano al retiro,79.57
Nélson Semedo,23,RB ,74.0,74.0,74.0,80.0,80.0,80.0,80.0,76.0,76.0,76.0,73.0,73.0,73.0,76.0,76.0,73.0,73.0,73.0,75.0,75.0,73.0,73.0,69.0,69.0,73.0,69.0,Máximo potencial,77.43
D. Sánchez,21,CB ,80.0,80.0,80.0,73.0,73.0,70.0,70.0,73.0,73.0,73.0,61.0,61.0,61.0,57.0,57.0,56.0,56.0,56.0,54.0,54.0,56.0,56.0,59.0,59.0,56.0,59.0,Joven promesa,75.14
A. Christensen,21,CDM CB ,80.0,80.0,80.0,76.0,76.0,74.0,74.0,77.0,77.0,77.0,67.0,67.0,67.0,64.0,64.0,62.0,62.0,62.0,60.0,60.0,58.0,58.0,55.0,55.0,58.0,55.0,Joven promesa,77.14
J. Kimmich,22,CDM CB CM RB ,76.0,76.0,76.0,80.0,80.0,81.0,81.0,80.0,80.0,80.0,80.0,80.0,80.0,79.0,79.0,78.0,78.0,78.0,78.0,78.0,77.0,77.0,74.0,74.0,77.0,74.0,Máximo potencial,78.57
R. Guerreiro,23,CM LB LWB LM ,72.0,72.0,72.0,78.0,78.0,80.0,80.0,77.0,77.0,77.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,81.0,81.0,79.0,79.0,75.0,75.0,79.0,75.0,Máximo potencial,76.0
M. Keane,24,CB ,80.0,80.0,80.0,77.0,77.0,75.0,75.0,77.0,77.0,77.0,67.0,67.0,67.0,65.0,65.0,62.0,62.0,62.0,62.0,62.0,61.0,61.0,62.0,62.0,61.0,62.0,Máximo potencial,77.71
Héctor Bellerín,22,RB ,74.0,74.0,74.0,80.0,80.0,80.0,80.0,75.0,75.0,75.0,71.0,71.0,71.0,76.0,76.0,71.0,71.0,71.0,74.0,74.0,71.0,71.0,66.0,66.0,71.0,66.0,Máximo potencial,77.43
T. Meunier,25,RM RB ,78.0,78.0,78.0,80.0,80.0,80.0,80.0,79.0,79.0,79.0,78.0,78.0,78.0,79.0,79.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,Máximo potencial,79.14
Nacho Fernández,27,RB LB CB ,80.0,80.0,80.0,78.0,78.0,77.0,77.0,76.0,76.0,76.0,65.0,65.0,65.0,64.0,64.0,60.0,60.0,60.0,60.0,60.0,58.0,58.0,57.0,57.0,58.0,57.0,Máximo potencial,78.57
Sergi Roberto,25,CM CDM RB ,76.0,76.0,76.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,78.0,78.0,78.0,77.0,77.0,76.0,76.0,76.0,76.0,76.0,74.0,74.0,70.0,70.0,74.0,70.0,Máximo potencial,78.29
Bartra,26,CB ,80.0,80.0,80.0,77.0,77.0,76.0,76.0,79.0,79.0,79.0,75.0,75.0,75.0,70.0,70.0,72.0,72.0,72.0,69.0,69.0,70.0,70.0,66.0,66.0,70.0,66.0,Máximo potencial,78.0
S. Aurier,24,RB ,79.0,79.0,79.0,80.0,80.0,80.0,80.0,78.0,78.0,78.0,75.0,75.0,75.0,77.0,77.0,74.0,74.0,74.0,76.0,76.0,75.0,75.0,74.0,74.0,75.0,74.0,Máximo potencial,79.57
S. Coates,26,CB ,80.0,80.0,80.0,70.0,70.0,68.0,68.0,76.0,76.0,76.0,65.0,65.0,65.0,57.0,57.0,58.0,58.0,58.0,53.0,53.0,57.0,57.0,59.0,59.0,57.0,59.0,Máximo potencial,73.71
D. Lovren,27,CB ,80.0,80.0,80.0,73.0,73.0,72.0,72.0,75.0,75.0,75.0,63.0,63.0,63.0,58.0,58.0,56.0,56.0,56.0,55.0,55.0,54.0,54.0,54.0,54.0,54.0,54.0,Máximo potencial,75.71
Mário Fernandes,26,RM RWB ,79.0,79.0,79.0,80.0,80.0,80.0,80.0,78.0,78.0,78.0,75.0,75.0,75.0,76.0,76.0,74.0,74.0,74.0,75.0,75.0,74.0,74.0,72.0,72.0,74.0,72.0,Máximo potencial,79.57
R. Rodríguez,24,CB LB ,76.0,76.0,76.0,79.0,79.0,79.0,79.0,78.0,78.0,78.0,77.0,77.0,77.0,76.0,76.0,75.0,75.0,75.0,75.0,75.0,73.0,73.0,71.0,71.0,73.0,71.0,Máximo potencial,77.71
Mario Gaspar,26,RB ,78.0,78.0,78.0,80.0,80.0,80.0,80.0,77.0,77.0,77.0,72.0,72.0,72.0,74.0,74.0,71.0,71.0,71.0,73.0,73.0,72.0,72.0,72.0,72.0,72.0,72.0,Máximo potencial,79.14
Marcos Alonso,26,LB LM LWB ,77.0,77.0,77.0,79.0,79.0,80.0,80.0,78.0,78.0,78.0,76.0,76.0,76.0,77.0,77.0,75.0,75.0,75.0,76.0,76.0,75.0,75.0,74.0,74.0,75.0,74.0,Máximo potencial,78.43
De Marcos,28,RB ,75.0,75.0,75.0,80.0,80.0,81.0,81.0,77.0,77.0,77.0,76.0,76.0,76.0,78.0,78.0,75.0,75.0,75.0,76.0,76.0,75.0,75.0,73.0,73.0,75.0,73.0,Máximo potencial,78.14
C. Smalling,27,CB ,79.0,79.0,79.0,74.0,74.0,71.0,71.0,73.0,73.0,73.0,62.0,62.0,62.0,61.0,61.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,60.0,60.0,58.0,60.0,Máximo potencial,75.29
S. Rudy,27,RM RB CDM CM ,72.0,72.0,72.0,76.0,76.0,78.0,78.0,78.0,78.0,78.0,80.0,80.0,80.0,77.0,77.0,78.0,78.0,78.0,76.0,76.0,76.0,76.0,72.0,72.0,76.0,72.0,Máximo potencial,74.86
M. Sakho,27,CB ,79.0,79.0,79.0,73.0,73.0,71.0,71.0,75.0,75.0,75.0,62.0,62.0,62.0,57.0,57.0,54.0,54.0,54.0,53.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,Máximo potencial,75.0
A. Rami,31,CB ,79.0,79.0,79.0,68.0,68.0,66.0,66.0,73.0,73.0,73.0,58.0,58.0,58.0,51.0,51.0,52.0,52.0,52.0,50.0,50.0,53.0,53.0,59.0,59.0,53.0,59.0,Cercano al retiro,72.14
S. Coleman,28,RB ,78.0,78.0,78.0,80.0,80.0,80.0,80.0,78.0,78.0,78.0,76.0,76.0,76.0,76.0,76.0,75.0,75.0,75.0,75.0,75.0,74.0,74.0,72.0,72.0,74.0,72.0,Máximo potencial,79.14
S. Kjær,28,CB ,79.0,79.0,79.0,75.0,75.0,72.0,72.0,76.0,76.0,76.0,65.0,65.0,65.0,59.0,59.0,57.0,57.0,57.0,56.0,56.0,57.0,57.0,61.0,61.0,57.0,61.0,Máximo potencial,75.86
D. Astori,30,CB ,80.0,80.0,80.0,73.0,73.0,70.0,70.0,75.0,75.0,75.0,62.0,62.0,62.0,56.0,56.0,55.0,55.0,55.0,53.0,53.0,54.0,54.0,55.0,55.0,54.0,55.0,Máximo potencial,75.14
M. Škrtel,32,CB ,79.0,79.0,79.0,72.0,72.0,69.0,69.0,73.0,73.0,73.0,58.0,58.0,58.0,53.0,53.0,50.0,50.0,50.0,49.0,49.0,50.0,50.0,54.0,54.0,50.0,54.0,Cercano al retiro,74.14
Dante,33,CB ,79.0,79.0,79.0,72.0,72.0,71.0,71.0,76.0,76.0,76.0,68.0,68.0,68.0,61.0,61.0,62.0,62.0,62.0,59.0,59.0,60.0,60.0,60.0,60.0,60.0,60.0,Cercano al retiro,74.71
G. Rodríguez,33,CB ,80.0,80.0,80.0,73.0,73.0,70.0,70.0,76.0,76.0,76.0,67.0,67.0,67.0,61.0,61.0,61.0,61.0,61.0,58.0,58.0,60.0,60.0,60.0,60.0,60.0,60.0,Cercano al retiro,75.14
