Name,Age,Preferred Positions,CB,LCB,RCB,LB,RB,LWB,RWB,CDM,LDM,RDM,CM,LCM,RCM,LM,RM,CAM,LAM,RAM,LW,RW,LF,RF,LS,RS,CF,ST,Rango edad,GK
S. Romero,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,79.0
L. Fabiański,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,78.6
B. Foster,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,78.4
A. Mirante,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,77.2
V. Enyeama,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,30.6
F. Marchetti,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,77.2
C. Kameni,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,79.2
Júlio César,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,76.0
M. Campaña,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,77.8
Y. Cardinale,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.0
S. Kritsyuk,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,77.4
Adrián,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,60.2
A. Areola,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,77.0
J. Zoet,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.6
M. Hitz,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.2
V. Babacan,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,77.2
R. Zieler,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,77.0
Roberto,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,77.2
Fabricio,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.6
D. Ospina,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.6
S. Sirigu,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,77.0
I. Akinfeev,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,78.4
A. Pyatov,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,78.8
G. Ochoa,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,77.6
W. Caballero,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,77.6
M. Vorm,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,76.8
Gomes,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,42.4
R. Adler,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,77.0
S. Sorrentino,38,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,77.4
A. Lunev,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,75.6
A. Onana,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,78.2
Pau López,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,76.8
M. Sportiello,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,76.4
Tiago Volpi,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.6
B. Reynet,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,77.0
C. Tătăruşanu,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,
A. Marchesín,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,76.6
Marafona,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,75.4
B. Lecomte,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,77.4
E. Berisha,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,76.2
T. Howard,38,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,75.4
M. Barovero,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,76.0
A. Marchesín,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,76.6
Tiago Volpi,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.6
Pau López,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,76.8
A. Onana,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,78.2
S. Ryzhikov,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,75.8
B. Reynet,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,77.0
K. Casteels,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,76.0
K. Vermeer,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,76.2
Guilherme,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,76.0
L. Kalinić,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.2
A. Lafont,18,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,76.2
Raphaelito Anjos,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,75.6
M. Andújar,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.8
D. Boyko,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.2
Pacheco,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.8
S. Kapino,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.8
F. Armani,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.6
O. Kıvrak,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.8
A. Belenov,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,75.0
Iraizoz,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,76.6
D. Benaglio,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.8
T. Vaclík,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,77.0
M. Ryan,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.4
Yoel,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,76.8
T. Krul,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,75.0
B. Jones,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,75.8
Bruno Varela,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,59.8
S. Torrico,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,76.2
A. Boruc,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.2
I. Khune,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.0
J. Pickford,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,78.6
Javi Varas,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,76.4
R. Weidenfeller,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.6
C. Candero,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,75.6
F. Forster,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,75.4
J. Leca,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.8
Sergio,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,76.4
G. Morenda,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.6
C. Davilo,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.6
R. Ahumera,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,76.0
V. Demirel,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,75.4
Y. Lodygin,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,76.2
R. Rey,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,75.8
P. Gulácsi,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,75.2
G. Lux,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,75.6
M. Díaz,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.0
B. van Leer,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.2
M. Kerzhakov,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.8
S. Proto,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,75.8
Beto,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,75.4
C. Pantilimon,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.2
S. Padt,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.4
Andrés Fernández,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.0
M. Storari,40,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.6
Riesgo,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.8
Herrerín,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.6
A. Letellier,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.6
Gabri Prestão,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.6
Serantes,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,75.0
Fred Aníbão,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.6
Nelsildo Reis,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,76.0
S. Ulreich,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.8
L. Skorupski,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.0
R. Vercoutre,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,76.2
José Sá,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.8
J. Orozco,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,60.8
Matheus,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.0
Z. Karčemarskas,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.6
T. Kraft,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.6
F. Bardi,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.0
J. Corona,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,
Iván Cuéllar,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.8
J. Lössl,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.2
J. Epazo,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.8
M. Esser,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.2
Simão Donatinho,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.6
Eduardo,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.6
Y. Pelé,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.4
A. Schwolow,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.2
Rafael,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.4
A. Bizzarri,39,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.6
F. Wiedwald,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,28.8
V. Mannone,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.0
S. Sosa,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.2
M. Stekelenburg,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,75.0
C. Vargas,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.8
A. Blake,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,
M. Barbosa,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.2
C. Mathenia,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.8
Cássio,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.0
K. Westwood,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.0
A. McCarthy,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.4
S. Scuffet,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,72.8
Dani Hernández,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.4
R. Özcan,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.2
Rubén Blanco,21,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,73.6
F. Vidangosa,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.6
K. Johnsson,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,75.2
C. Toselli,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.0
F. Monetti,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,75.6
Douglas,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.2
Y. Mvogo,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.8
Kaíquão Castro,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.8
Jaume,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.6
Gottardi,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.4
Ricardo,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.8
S. Dzhanaev,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.8
M. Sels,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.0
D. Jensen,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.4
Isaac Becerra,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.2
J. Carrizo,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.4
H. Tekin,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.8
J. Hopf,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.0
R. Riou,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.2
J. Drobný,37,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.0
Da Costa,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.2
V. Acerval,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.4
A. Corveto,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.6
A. Sinitsyn,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.0
Zeng Cheng,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.8
L. Sepe,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.8
J. Pavlenka,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.6
S. Kırıntılı,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.0
Raúl Fernández,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.8
N. Vikonis,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.4
L. Butelle,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.6
Yoon Bo Sang,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.2
Diego Mariño,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.8
M. Rensing,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.8
Joel Robles,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.2
B. Hamid,26,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.4
A. Meret,20,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Joven promesa,72.4
J. Cuadrado,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.0
Fabiano,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.4
W. Hennessey,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,60.0
A. McGregor,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.0
S. Carson,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.2
C. Gordon,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.2
V. Gabulov,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.8
Rafael,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.2
K. Lamprou,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.6
E. Room,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.6
M. Langerak,28,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,70.0
P. Gallese,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,71.6
G. Sara,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.0
Victorino Magela,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.4
W. Hahn,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.2
Adrianiscito,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.6
B. Castro,34,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,69.8
T. Strakosha,22,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.2
D. Stockdale,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.6
V. Stoyanov,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.2
R. Olsen,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.6
Gabrìel,24,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.0
R. Salin,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.2
J. Herrera,36,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,73.4
G. Jourdren,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.6
D. Marshall,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.0
M. Dmitrović,25,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.6
B. Białkowski,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.2
A. Selikhov,23,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,74.0
L. Pocrnjic,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,71.4
L. Pionnier,35,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,74.4
R. Cota,29,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,72.6
M. Samassa,27,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.0
A. Rebrov,33,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.2
D. Padelli,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,72.2
D. Ousted,32,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.6
D. Yurchenko,31,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Cercano al retiro,70.6
O. Ustari,30,GK ,,,,,,,,,,,,,,,,,,,,,,,,,,,Máximo potencial,73.6
